,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
605,KreditBee,2018,Bangalore,Fintech,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong",NewQuest Capital Partners,8000000.0,others,2021-01-01
606,Spardha,2016,Pune,Education Technology,"Spardha School Of Music, Spardha Academy, Spardha Online are associated marks with Spardha Learnings Private Limited.","Saurabh Srivastav, Amrita Srivastav",Inflection Point Ventures,400000.0,early traction,2021-01-01
607,Onelife Nutriscience,2019,Mumbai,HealthCare,Onelife Nutriscience is a consumer healthcare brands company.,Gaurav Aggarwal,Lasons India,0.0,others,2021-01-01
608,Flatheads,2019,Bangalore,Fashion and Lifestyle,Flatheads is a lifestyle brand that designs and creates shoes from India for the world. Flatheads launched India's first bamboo footwear.,"Ganesh Balakrishnan, Utkarsh Biradar",Pankaj Chaddah,0.0,others,2021-01-01
609,Fable Fintech,2015,Mumbai,Fintech,"Fable Fintech is being seed-funded by the CCAvenue Group, South East Asia’s number 1 eCommerce service provider",Naushad Contractor,Paytm,0.0,early traction,2021-01-01
610,Holisol,2009,Delhi,Supply Chain and Logistics,HoliSol Logistics Is a Supply Chain Operations Company!,"Manish Ahuja, Naveen Rawat, Rahul Dogar",BlackSoil,3000000.0,others,2021-01-01
611,Now&Me,2018,Delhi,HealthCare,"Now&Me is a safe cocoon in the form of discussion forums, for you to let out your most intimate thoughts.","Bani Singh, Drishti Gupta",Saama,1000000.0,others,2021-01-01
612,Fyllo,2019,Bangalore,Agricultural Technology,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,"Sudhanshu Rai, Sumit Sheoran",Indian Angel Network,400000.0,validation,2021-01-01
613,Cora Health,2020,Bangalore,HealthCare,Social Commerce Marketplace for health and wellness. Help people discover products suited to their health needs.,"Shrijit Venkatesh, Snigdha Kumar",None,0.0,others,2021-01-01
614,Blaer Motors,2014,Chennai,Transportation and Mobility,Meant to augment human power and not completely replace it,Abinesh Ekambaram,The Chennai Angels,300000.0,others,2021-01-01
615,Swiflearn,2019,Gurgaon,Education Technology,Swiflearn provides online tuition classes to small batches to ensure personalised learning.,"Abhinav Agarwal, Anand Bakode",Venture Highway,3000000.0,early traction,2021-01-01
616,Cashfree,2015,Bangalore,Fintech,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Akash Sinha, Reeju Datta",State Bank of India,0.0,others,2021-01-01
617,QuickSell,2017,Mumbai,Business-to-Business E-commerce,B2B Mobile Commerce Platform,Deepak Bhagchandani,Sanjay Baldwa,2000000.0,early traction,2021-01-01
618,Truemeds,2019,Mumbai,Healthcare,Truemeds is a health-tech startup.,"Akshat Nayyar, Kunal Wani",InfoEdge,5000000.0,early traction,2021-01-01
619,Candes,2015,Delhi,Business-to-Business E-commerce,Candes is a home appliances company providing a complete range of home & kitchen electrical appliances at affordable prices.,"Sandeep Aggarwal, Vipin Aggarwal",Nitin Passi,3000000.0,others,2021-01-01
620,MediBuddy,2000,Bangalore,Healthcare,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.","Satish Kannan, Enbasekar",Stride Ventures,3000000.0,others,2021-01-01
621,F5,2018,Delhi,Food and Beverages,F5 is a foods and beverages company.,"Lalit Aggarwal, Raghav Arora",Venture Catalysts,300000.0,early traction,2021-01-01
622,Capital Float,2013,Bangalore,Fintech,Capital Float is an online platform that provides working capital finance to SMEs in India.,"Gaurav Hinduja, Sashank Rishyasringa",Triodos Investment Management,6000000.0,others,2021-01-01
623,IntelleWings,2019,Panchkula,Technology Startup,"IntelleWings develops Sanctions & Anti-money laundering solutions with a clear, concise, and fresh perspective.",Pramod Sharma,None,100000.0,validation,2021-01-01
624,Shyplite,2016,Delhi,Supply Chain and Logistics,Enable E-retailers to automate their logistics and increase efficiency in shipments by providing a single window shipping platform,"Nisschal Jain,  Sugam Jain, Parinay Itkan",N+1 Capital,1000000.0,others,2021-01-01
625,Refyne,2020,Bangalore,Fintech,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to employees.,"Chitresh Sharma, Apoorv Kumar",DST Global,20000000.0,early traction,2021-01-01
626,Greenjoules,2018,Pune,Renewable Energy,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,". Sethunath, V S Shridhar, V. Radhika, Viraraghavan Sankaran",Blue Ashva Capital,4500000.0,early traction,2021-01-01
627,MentorKart,2018,Delhi,Consulting,MentorKart™ helps to fulfil dreams and take that big step towards success.,"Ashish Khare, SK Mohanty",Amit Singal,150000.0,validation,2021-01-01
628,Leverage Edu,2017,Delhi,Education Technology,AI-enabled marketplace designed to help students with their higher education and career growth plans,Akshay Chaturvedi,Trifecta Capital Advisors,2000000.0,others,2021-01-01
629,Kale Logistics,2010,Thane,Supply Chain and Logistics,Kale Logistics Solutions is a global IT solutions provider focused on providing cutting-edge technology solutions to the Logistics industry.,"Amar More, Vipul Jain",Inflexor Ventures,5000000.0,early traction,2021-01-01
630,CustomerGlu,2016,Bangalore,Customer Relationship Management,CustomerGlu is a Low code Interactive Engagement platform to improve user stickiness.,"Prateek Gupta, Raman Shrivastava, Sumant US",Kumar Aakash,320000.0,others,2021-01-01
631,Cell Propulsion,2016,Bangalore,EV startup,Cell Propulsion is a fleet electrification company developing solutions for large scale electrification of commercial vehicle fleets.,"Nakul Kukar, Paras Kaushal",growX ventures,2000000.0,others,2021-01-01
632,Wellbeing Nutrition,2019,Mumbai,HealthCare,Organic whole food nutrition to keep up with the pace at which we live,Avnish Chhabria,Klub,0.0,others,2021-01-01
633,Pee Safe,2013,Gurgaon,HealthCare,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria",Shaival Desai,3000000.0,early traction,2021-01-01
634,Chqbook,2017,Delhi,Fintech,"Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.","Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma",Aavishkaar Venture Capital,1000000.0,others,2021-01-01
635,SimpliContract,2020,Bangalore,Computer Software,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.","Guru Venkatesan, Jinaraj PG, Makesh Kumar",Kalaari Capital,1800000.0,validation,2021-01-01
636,Dropshop,2019,Bangalore,Supply Chain and Logistics,Building technology to make distribution efficient and cheaper for large and small FMCG companies,"Udit Dhawan, Rohit Fernandes, Ravi Teja",Inflection Point Ventures,1000000.0,early traction,2021-01-01
637,Jumbotail,2015,Bangalore,Business-to-Business E-commerce,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,"Ashish Jhina, Karthik Venkateswaran",Alteria Capital,4000000.0,others,2021-01-01
638,BYJU'S,2011,Bangalore,Education Technology,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath",Tiga Investments,350000000.0,others,2021-01-01
639,Power Gummies,2018,Delhi,Nutrition and Nutrition Technology,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,Venture Catalysts,1000000.0,others,2021-01-01
640,Convosight,2019,Delhi,Software-as-a-Service,A mission - to help community builders become community entrepreneurs.,Tarun Dhamija,Qualgro,9000000.0,early traction,2021-01-01
641,Junio,2020,Delhi,Fintech,Junio is a kids-focused digital pocket money-smart card.,Ankit Gera,Amit Lakhotia,600000.0,validation,2021-01-01
642,Wherehouse.io,2020,Delhi,Supply Chain and Logistics,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.","Vaibhav Chawla, Jeevan Prakash, Lavelesh Sharma",Better Capital,0.0,validation,2021-01-01
643,Flexmoney,2015,Mumbai,Fintech,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",Yezdi Lashkari,Pravega Ventures,4800000.0,early traction,2021-01-01
644,Fampay,2019,Bangalore,Fintech,India's first numberless card and UPI without a bank account,"Kush Taneja, Sambhav Jain",Greenoaks Capital,38000000.0,early traction,2021-01-01
645,Apna,2019,Bangalore,Human Resources and HR Technology,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,Nirmit Parikh,Sequoia Capital India,70000000.0,early traction,2021-01-01
646,XYXX Apparels,2017,Surat,Fashion and Lifestyle,"XYXX Apparels,which runs an eponymous innerwear brand",Yogesh Kabra,None,4000000.0,early traction,2021-01-01
647,WaterScience,2014,Bangalore,Direct-to-Consumer,The aim of making good water affordable and accessible.,Sudeep N,None,0.0,others,2021-01-01
648,BrowserStack,2011,Mumbai,Software-as-a-Service,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,"Nakul Aggarwal, Ritesh Arora",Accel,200000000.0,early traction,2021-01-01
649,Vital,2018,Delhi,Insurance,"An affordable, digital health plan built around to cover both big and small expenses",ahul Kumar,BLinC Invest,3000000.0,early traction,2021-01-01
650,Juicy chemistry,2014,Coimbatore,HealthCare,Juicy Chemistry operates as an eponymous consumer brand.,"Megha, Pritesh Asher",Spring Marketing Capital,0.0,others,2021-01-01
651,Samaaro,2020,Bangalore,Software-as-a-Service,"Samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience","Mayank Banka, Purnank Prakash, Skandha Gopalan",Chaitanya Kalipatnapu,125000.0,others,2021-01-01
652,Imagimake,2011,Mumbai,Innovation Management,An innovative play system to help children create their imagination,"Disha Katharani, Ravi Kumar",oha Investment Managers,500000.0,early traction,2021-01-01
653,MSMEx,2019,Andheri,Education Technology,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,"Amit Kumar, Vishal Kumar, Dilip Kumar, Khushboo Arora, Kumar Sambhav",TNF Ventures,1000000.0,early traction,2021-01-01
654,RenewBuy,2015,Gurgaon,Insurance,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,"Balachander Sekhar, Sandeep Nanda",Lok Capital,45000000.0,early traction,2021-01-01
655,saarthi.ai,2017,Bangalore,Artificial Intelligence,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,"Piyush Dangaich, Sameer Sinha, Sangram Sabat, Vishwa Nath Jha",Nvidia Inception,0.0,validation,2021-01-01
656,Kutumb,2020,Bangalore,Community Platforms and Communities,Kutumb is a social community enabler.,"Mohit Sharma, Naveen Dewangan, Vipul Allawadhi",Tiger Global Management,26000000.0,early traction,2021-01-01
657,Superplum,2019,Noida,Agricultural Technology,Building India's most sophisticated platform for high quality fresh food,Shobhit Gupta,Marquee investors,3800000.0,early traction,2021-01-01
658,Upside AI,2017,Mumbai,Fintech,Upside AI on the thesis that technology will make better investing decisions than humans over the long term.,"Kanika Agarrwal, Nikhil Hooda, Atanuu Agarrwal",ndiya Partners,1200000.0,validation,2021-01-01
659,PazCare,2021,Bangalore,Insurance,Paz Care is India's leading Employee Benefits & Health insurance platform,Sanchit Malik,Ashish Hemrajani,0.0,others,2021-01-01
660,Answer Genomics,2019,Bangalore,HealthCare,A healthcare company that uses genome-based data to help individuals make decisions.,ahul Ranganathan,India Accelerator,0.0,others,2021-01-01
661,Skillmatics,2016,Mumbai,Education Technology,Skillmatics develops learning games for pre-school and primary school kids aged under 10,Dhvanil Sheth,Sequoia Capital India,6000000.0,early traction,2021-01-01
662,Bimaplan,2020,Bangalore,Insurance,Affordable insurance for the next billion Indians,Vikul Goyal,oshan Abbas,2500000.0,early traction,2021-01-01
663,Bueno Finance,2019,Gurgaon,Fintech,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.","Saurav Gandhi, Sandeep Arora",Goat Capital,3000000.0,validation,2021-01-01
664,CityMall,2019,Gurgaon,Business-to-Business E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Naisheel Verdhan",General Catalyst,22000000.0,early traction,2021-01-01
665,BYJU’S,2011,Bangalore,Education Technology,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath",Blackstone Group,50000000.0,others,2021-01-01
666,India Quotient,2012,Mumbai,Venture Capital,India Quotient is a new type of early stage investor. We fund companies building disruptive businesses aimed at Indian consumers. We're,"Anand Lunia, Madhukar Sinha",None,64000000.0,others,2021-01-01
667,The Switch Fix,2019,Gurgaon,HealthCare,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,"Abhishek Kumar, Rhea Shukla",Venture Catalysts,0.0,validation,2021-01-01
668,Anvidha Technologies,2020,Haryana,Technology Startup,Anvidha Technologies Private Limited is a HARYANA based private ltd.,Ganesh ranganathan iyer,None,1500000.0,validation,2021-01-01
669,DigiSparsh,2020,Mumbai,Fintech,DigiSparsh is India's first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country.,"Saurabh Soni, Akhilesh Gandhi",GoAhead Ventures,0.0,validation,2021-01-01
